TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_XRR_04082026	
2θ, °	Intensity, cps
2.2279999256134	3.12317752838135
2.23200011253357	12.2769823074341
2.23600006103516	6.20048141479492
2.24000000953674	6.35486316680908
2.24399995803833	6.31208658218384
2.24799990653992	9.4130687713623
2.25200009346008	3.09700751304626
2.25600004196167	6.37640714645386
2.25999999046326	6.22323656082153
2.26399993896484	3.1830792427063
2.26799988746643	9.37040996551514
2.2720000743866	9.34521389007568
2.27600002288818	15.8854026794434
2.27999997138977	3.15109896659851
2.28399991989136	0
2.28800010681152	6.50591850280762
2.29200005531311	6.24424314498901
2.2960000038147	3.10720539093018
2.29999995231628	6.16686582565308
2.30399990081787	3.01631951332092
2.30800008773804	9.48495674133301
2.31200003623962	6.33169984817505
2.31599998474121	0
2.3199999332428	6.28428602218628
2.32399988174438	0
2.32800006866455	0
2.33200001716614	6.41566228866577
2.33599996566772	12.4778938293457
2.33999991416931	9.53992176055908
2.34400010108948	3.13806056976318
2.34800004959106	6.22014236450195
2.35199999809265	6.52080678939819
2.35599994659424	9.76454162597656
2.35999989509583	0
2.36400008201599	3.08569502830505
2.36800003051758	9.28895282745361
2.37199997901917	3.09049701690674
2.37599992752075	0
2.38000011444092	6.45613670349121
2.3840000629425	6.0652756690979
2.38800001144409	3.24935126304626
2.39199995994568	3.14589142799377
2.39599990844727	6.19094133377075
2.40000009536743	6.34398889541626
2.40400004386902	0
2.40799999237061	0
2.41199994087219	15.558445930481
2.41599988937378	9.45194244384766
2.42000007629395	3.11677360534668
2.42400002479553	3.07309126853943
2.42799997329712	6.1596736907959
2.43199992179871	3.06600451469421
2.43600010871887	12.3478736877441
2.44000005722046	3.2146942615509
2.44400000572205	6.26266527175903
2.44799995422363	3.06507253646851
2.45199990272522	3.28964281082153
2.45600008964539	6.30585908889771
2.46000003814697	0
2.46399998664856	9.4395637512207
2.46799993515015	6.43272542953491
2.47199988365173	6.31414651870728
2.4760000705719	3.08332419395447
2.48000001907349	6.34413719177246
2.48399996757507	9.50059700012207
2.48799991607666	6.20940494537354
2.49200010299683	3.14469218254089
2.49600005149841	6.39629507064819
2.5	3.04246664047241
2.50399994850159	0
2.50799989700317	6.26106929779053
2.51200008392334	0
2.51600003242493	0
2.51999998092651	6.21576166152954
2.5239999294281	3.22527027130127
2.52800011634827	3.07562112808228
2.53200006484985	3.06507253646851
2.53600001335144	0
2.53999996185303	0
2.54399991035461	0
2.54800009727478	3.18109464645386
2.55200004577637	12.6992311477661
2.55599999427795	3.12787365913391
